Agency Name,County,IncidentDate,LEOKA Assignment Type (NIBRS),LEOKA Circumstance,NIBRS Crime Description,NIBRS Report Title,Victim Age (group),Victim Gender,Victim Race,Distinct Offense Victims
Salem PD MIP,MARION,10/18/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,45-49,Male,White,1
Salem PD MIP,MARION,3/13/2022,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,45-49,Male,White,1
Silverton PD,Marion,5/29/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,45-49,Male,White,1
Springfield PD,Lane,1/25/2022,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Springfield PD,Lane,4/24/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,45-49,Male,White,1
Springfield PD,Lane,12/15/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,45-49,Male,White,1
Springfield PD,Lane,8/19/2021,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,45-49,Male,White,1
Springfield PD,Lane,1/2/2022,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,45-49,Male,White,1
Springfield PD,Lane,1/6/2022,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,45-49,Male,White,1
Stayton PD,Marion,2/24/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Stayton PD,Marion,1/5/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,45-49,Female,White,1
Stayton PD,Marion,1/5/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,45-49,Male,White,1
Stayton PD,Marion,2/24/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Destruction/Damage/Vandalisim of Property,Vandalism,45-49,Male,White,1
Stayton PD,Marion,1/5/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Destruction/Damage/Vandalisim of Property,Vandalism,45-49,Male,White,1
Sweet Home PD,LINN,7/25/2020,One Man Vehicle - Alone,All Other,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Sweet Home PD,LINN,2/12/2022,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
The Dalles PD,Wasco,3/5/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,45-49,Male,White,1
Tualatin PD,Washington,11/16/2021,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Tualatin PD,Washington,2/15/2022,Other - Assisted,Responding to Disturbance,Intimidation,Intimidation,45-49,Male,White,1
Union SO,Union,9/30/2020,One Man Vehicle - Assisted,Burglaries in Progress/Pursuing Burglary Suspects,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Warrenton PD,Clatsop,7/1/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,45-49,Female,White,1
Washington SO,Washington,7/14/2021,Other - Assisted,Mentally Deranged,Aggravated Assault,Aggravated Assault,45-49,Male,Native Hawaiian/Other Pacific Islander,1
Washington SO,Washington,12/3/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,45-49,Male,Unknown,1
Washington SO,Washington,3/31/2020,Other - Alone,All Other,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Washington SO,Washington,7/28/2020,One Man Vehicle - Assisted,All Other,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Washington SO,Washington,3/24/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Washington SO,Washington,5/6/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Washington SO,Washington,5/6/2021,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Washington SO,Washington,7/16/2021,Detective or Special Assignment - Assisted,All Other,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Washington SO,Washington,7/29/2021,Other - Alone,Ambush/No Warning,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Washington SO,Washington,8/16/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,45-49,Male,White,1
Washington SO,Washington,7/15/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,45-49,Male,White,1
Yamhill SO,Yamhill,5/11/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,45-49,Male,White,1
Albany PD,Linn,7/17/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Astoria PD,Clatsop,1/25/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,50-54,Male,Unknown,1
Astoria PD,Clatsop,1/25/2021,Other - Assisted,All Other,Simple Assault,Simple Assault,50-54,Female,Unknown,1
Astoria PD,Clatsop,6/22/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,50-54,Male,White,1
Astoria PD,Clatsop,6/24/2020,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,50-54,Male,White,1
Astoria PD,Clatsop,8/27/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,50-54,Male,White,1
Astoria PD,Clatsop,11/10/2021,Other - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,50-54,Male,White,1
